0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
러그는 판매 안 하실까요?,드릉드릉해서 저 누끼 따서 저희 집 거실에 붙여놓고 고민 백만번 했잖아요. 소파 색이 너무 고동색이라 ㅠㅠ 오크랑 어울릴지 여전히 고민 중이에요. ㅋㅋㅋㅋㅋ,안녕하세요!! 제가 2주전에 테이블 구매하고 문의드릴게 있는데 혹시 디엠으로도 가능할까요? 대표님께 말씀드리고싶어서요,,,,,,,,,,,,
플랫화이트원목테이블은 이제 공구일정 없을까요?!,와 원목테이블 ㅜㅜ 요 사진 보니 테이블 당장 바꾸고파요🔥❤️ 이름도 멋지네요!,8인용까지도앉을수있을것같다요😍😍색감도 크기도너무간결하고이쁘다요~~테이블도..바꿔야할때가왔는데!찜꽁❤️❤️❤️,사진 속 티슈 케이스는 구매가능한가요?,진짜 너무너무 예쁨😍,잘 어울리는 이름이네요😍스테이 다이닝 테이블. 2월 이사 예정인데 1401홈 여기에서 다 채울거예요~~!!커피 잘 마실게요🙏,우와🙊 잘 어울리는 네이밍이 당첨 되었네요😍❤️ 이런 원목 테이블 작은 사이즈 1-2인용 책상으로 사용할 수 있는 제품도 나오면 좋겠어요🙏🏻 커피 감사합니다‼️,1600사이즈는 언제 출시 되나요?😮,목욕..1분컷 ㅠㅠ,우레탄도장인가요??,벽조명도 알고싶어요 ㅠㅠ,쇼룸은 따로 없나요?,우와 당첨되었네요!!!스테이 다이닝 테이블♡상품권 잘 쓸게요◡̈,분위기업업❤️,🪑
혹시 다른 색상도 볼수 있나요?,고객센터 전화번허가없어요??,때 안타나요ㅜㅜ,@lee_sun_kang  예뿌당😂😂😂,@jinnuuu_  이런것두 귀욤댱,마와 옷걸이는 언제 진행하시나요~?,@daldalmini08,@940408s 이거다!!!,@j.addict,@ddung_uni 오때,@bg_kang,@okinara,@ukssu0612,@innerpeace_joo_,
저는 드라이 할 때...... 사실 강풍 보다 약한 바람이 더 중요한데 (롤빗으로 컬 잡을 때) 약풍도 확실히 잔잔하고 약하게 나오는 건가요 ? 강풍 얘기만 있고 약풍 얘기는 하나도 없으니 걱정 돼서요 ㅜㅜ,안녕하세요. 지난번 버츄오팝 구매하면서 후기이벤트에 감사하게도 상품권 당첨이 됐어요. 근데 제가 문자로 온걸 늦게 확인하고 여행다녀오느라 상품권교환을 못했네요. ㅠㅠ 기한연장이 안되더라구요. 혹시 연장 해주실수있을까요? 당첨되고 넘 좋았는데~~ 너무 아쉬워서 혹시몰라 댓글 남겨봅니다.,게지대포함해서 주문했는데 따로배송인가요?거치대는 안왔어요,고장나면 as는 어떻게 해야되나요?,진즉 구매 완…😍,별님 저 어제 주문했는데 주문들어간거겠쥬~?!?!?,금요일밤에 거치대 모르고 주문 못했는데 취소가 안되네요 😭 따로 주문도 안되고.. 주말은 방법이 없나요?,저 지금봐서ㅠㅜ 당장 방금! 구매했는데 열려있으면 구매된거져..? 그리고 무이자 무슨일이예요.....최대 무이자 갈겼어요ㅋㅋㅋㅋ,내일까지 열어주시면 안되나요 ㅠㅠ,저 디엠을 보낼 수가 없게 되어있네요….,지금 구매했어요! 막차탄거쥬?ㅎㅎㅎㅎㅎㅎ,이제서야 주문완료입니다~♡♡♡,별님 저도 구매완료요💛💛,주문완료용🩵🩵🩵,❤️
"머리숱 많은 사람은 알죠, 드라이기로 아무리 말려도 뒤통수, 귀 뒤쪽은 최후의 보루처럼 가장 늦게 마르는거. 오늘 배송 와서 써봤는데 바람이 쎄서인지 머리 휙휙 날려주면서 뒷통수 시원하게 말려주네요. 미용실에서 머리 말려줄 때도 너무 오래걸려서 눈치 많이 보이는데 미용실에도 로이드미 좀 비치해두면 좋겠어요ㅠㅠㅋㅋ",진짜 모발굵고 숱많은1인입니다ㅎㅎ여름에 머리말리는거 넘고역이예요 찬바람으로 말리자니 빨리안마르고 따뜻한바람으로 말리자니 더워죽을것같고😂오늘은 강아지털말리는 드라이기로 말렸다는ㅋㅋㅋ 로이드미 넘 구미당깁니다🤣🤣,드라이기 쓰고있는데 머리카락이 심하게 엉키는데 원래 그렇나요?...빗질하고 머리말려도 엉키고...그렇다고 머릿결이 나쁜것도 아닌데...왜 그렇죠??ㅠ바닷가바람이 심하게 불어서 머리가 엉키는 느낌이랄까...흠,고민고민하다 주문했네요~ j쓰고있는데 너무 커서ㅠㅠ 기대해봅니다.뷰티드링크도 큰기대 없이 주문했는데 딱 일주일 먹었는데 정말 효과있네요~ 접촉성피부염이 너무 심해서 좁쌀은 아직있지만 색소??같은것도 좀 잡히는거같고 우선 광이 무슨일인지~ 남편이 얼굴에 단팥빵 기름발라놓은거같다네요 🤣🤣🤣,드라이기 거치대 한번 붙이면 떼서 다른곳에 사용기능할까요?,드라이기는지금배송중이고구매했는데거치대만따로구매할수없는지요,헐 이제야 봐버린 공구.. 구매언제 또 가능할까요,안녕하세요 구입하고싶은데 여행을 와 있어서 주문하고 월요일 출고 부탁드려도 될까요~,"다른제품 질문드려서 죄송합니다만...... 아이스셀패드 제발 더 팔아주세요 아가꺼ss 1장만 산거 넘넘 잘써서 으른도 쓰고, 부모님도 사드리고싶은데 😢😢😢😢",샀지요샀지요~~~드뎌!!!!😍😍,주소를여디남길까요,좀보내주세요금액이랑계좌주시면입금할께요,,,
우와…. 탐나는 이벤트😍 열심히 먹고있는중이에요,열심히 먹고있어요~^^,우와아아아아아 역시 별샘님 스케일🙌🏻🙌🏻 열심히 먹고 변화해서 후기 열심히 남갸볼게영 ㅋㅋㅋㅋㅋ,와..우리별샘님 이벤트 스케일👍,와우🤍🤍쩔어요,우아.. 별샘님 이벤트 스케일💍🧡🧡,앗 콜라겐 늦게 봤는데 다음번에도 선착순 이벤트 해주세요오 너무 좋아보여요 콜라겐! 타사 효과 못느끼는중 😭,,,,,,,,
우와~~~🙌🙌 감사합니다~~ 잊고 있었는데 당첨이라니~~😄😄😄,우와🥹.. 대박!! 감사합니다🫶🏻🩵 사실 잊고있어서 기대도 안했는데 ㅜㅜ불리 자주 뿌려도 다른 향수들처럼 독하지도 않구 너무 좋아요! 콜라겐도 열심히 먹고있답니다 ㅎㅎ 감사합니다😍 앞으로도 좋은 제품들 많이 소개해주세요!! 🙌🏻,우와 당첨이라니❤️❤️ 너무 감사합니다~! 일주일쯤 먹으니 자고 일어나서 얼굴에 베개자국이 나도 금방 쏙 들어가서 너무 좋아용😆,아무생각없이 피드보다가 제가 있어서 낌놀👀 디쉬바 넘 뽀득해서 오늘도 감탄하며 설거지했는데 넘 기부니조아요😍 감사합니다🫶,감사합니다🫶🏻마와는 사랑🥹❤️,헐. .독박육아중 단비같은소식이❤️❤️❤️감사합니당,어머어머어머!!!!!!!🙈🙈🙈🙈 세상에나 감사합니다아! ❤️ 저도 잊고 있었는데 다시 선물 받은 기분이 들어요🤣어제도 마와로 옷 정리했는뎈ㅋㅋㅋㅋ ‘아직 갈 길이 멀구나’... 하면서 몇 번 더 사다 날라야겠네^..^ 했는데... 드라이기 직구 한다던 남친...댓글보더니 오늘 바로 결제해줬어요🥰,우와!!!감사합니다!!!ㅠㅠㅠㅠ 매일 챙겨먹고 있어요 가지고 다니기도 간편하고 비리지도않아서 맛있게 잘먹고 있숩니다 ㅎㅎㅎㅎ 한 달 먹고 홈페이지 후기 남길게요🌸🌸🌸 믿고 사는 별샘님❤️❤️,감사합니다!! 마와는 진짜 최고💙,감사합니당 🫶🏻🫶🏻🫶🏻 앞으로도 좋은 공구 함께해주세용 ❤️,오와! 감사합니당❤️ 바로우 디쉬바 너무 좋아요~ 좋은 제품 더 사용할 수 있게되서 넘 좋네요 히히😚,우와💛 너무너무 감사해요💛 더운 여름 최고의 선물이에요🫶🏻🫶🏻,와우...당첨되었네요. 감사합니다.,이제봣어요ㅠ 감사합니다😍,
혹시 다이슨 헤드랑 호환 되는지 알수있을까요?,바로 구매 완료❤️ 신혼집에 예쁘게 놓을 생각하니 설레용ㅎㅎ,드라이기 작고 이뿌다! 우리는 j 저건데 너무 커!!,혹시 화덕피자는 언제 공구일까요!!!? 😍,머리길고 숱많은 사람은 구매했습니다😇 오분컷…,혹시 화장대 정보 알 수 있을까요!ㅠ,일단 디자인이 맘에 들어요 😍,머리숱은 많지만 관절은 안 좋으신 어머니께 드리려고 구매합니다💝💝,거울은 어디꺼일까요~~?,추가 구성품인 드라이기 거치대는 어떻게 설치하는 건가요?😮,고장시 as 가능한가요??,아기있는 집 저소음에 빠르게 머리 말려준다길래 바로 구입합니다☺️,기다렸다가 구매해브렀어영🩵😇 넘 기대됩니당,@thinkartbig 요거요거 봐주세용 ㅎㅎ,@92.jung_soo 사줘 ㅎㅎ
⚠️로이드미 헤어드라이기는 220v 전용 제품입니다. 프리볼트 제품이 아니니 구매에 미리 꼭 참고해 주세요!⚠️(인스타 오류로 릴스 내용 수정이 안되네요 댓글로 안내해 드리는 점 양해 부탁드려요😭),알람신청이요❣️다다음주 새신혼집 집주 앞두고 드라이기는 뭘로 해야하나 너무 고민했는데 동전 날아가는 파워뭔가용..? 바로 구매각..🙊 심지어 디자인도 예뻐버려요ㅠㅠ,"알람설정이용🙌다이슨 보다 센거라니 너무 기대돼용꼭 써보고 싶어용 !!!탈색을 많이해서 머리가 빨리 안말려져서 하루하루 너무 힘들어효,,,,🥲로이드미 해어드라이기로 시간 단축 시급해요오 좋은 제품 알려쥬셔서 감사함니다🤍",오 저도 오픈 알람이요😍😍 드라이기 진짜 절실히 필요해여......,안녕하세요 다른 문의를 여기 드려서 죄송하지만... 베이지크 샴푸... 혹시 언제 다시 진행하실까요...?? 😂😂,알림신청합니다 💓드라이기 교체해야하는데 딱 필요한 때 너무 좋은 소식이네요❤️,드라이기 바꿔야겠다 생각하고 있었는데 별샘님이 마침 요로케 해주시니😍 알림 신청해요 ❤️,알람신청이요! 지금 쓰는 드라이기 너무 무거워서 찾아보고있었는데 딱이네요😮🩵 드라이기 컴팩트하고 디자인도 너무 예쁜데 머리도 빨리 마른다니..! 너무 궁금해요 꼭 써보고 싶어요🤍,오픈기다려서 두세트 구매했어요 😍 선물하기 좋은 아이템이에요! 👍,알람신청 바로 합니당 !!!!! 아침에 머리 말릴때마다 전쟁을 치르는 중이에요 ㅜㅜㅜㅜ 다이슨은 휴대하기 너무 불편한데 가볍기까지 한다니 최고성능아닙니까 ?? 💗💗💗 올 여름은 머리 안잘라두 될 것 같아 행복하네용 🤩✨,"알람이요⏰⏰ 머리숱 많은 게 집안 내력이라 다 머리가 길어서 웬만한 전문가용 드라이기 다 써봐도 빨리 안 말라서 겨울에도 선풍기에 드라이기 조합으로 머리 말리는 1인입니다,, 이사 가는 김에 다이슨으로 바꿀까 알아보던 차에 마침 별샘님 공구라니,,💖 드라이기는 그냥 머리 말리는 용도라고만 생각했는데 새로운 집이랑 인테리어 무드도 잘 어울릴 것 같아요 다이슨 두 달 넘게 고민중이었는데 사지 말고 로이드미 사라는 하늘의 계시,,(?) 당장 구매각입니다 로이드미 숱부자에 머리 긴 저희 가족들의 구원템이 되어줘,,💘","💙알림신청해요💙 항상 미용실가면 이렇게 머리숱 많으신분 처음본다는 말을 인사처럼 들어요. 머리숱 많으신분들은 아실거예요. 머리 감고, 말리는게 얼마나 귀찮은 일인지를요! 그래서 조금이나마 시간을 단축하고 싶어서 다이슨을 사용하고 있어요. 그런데 사람 욕심이 끝이 없다고 조금더 강력했으면 좋겠고,, 다른건 못챙겨도 다이슨을 꼭 챙겨다니는 저에겐 휴대성과 다른 나라에서도 쓸 수 있는 그런 제품 어디 없나 싶던 와중에 그런 드라이기를 여기서 발견하게 될 줄이야! 이건 운명이라구요!! 다이슨보다 저렴하고 가벼운데 성능으로 밀리는게 하나도 없는 이 친구,, 제 이상형이네요. 🥺",❤️,좋아요알람설정🛎️🔔❤️‍🔥신부 관리로 콜라겐 구매햤는데 혼수로 요 드라이기까지 바로 들여야겠네요💨🌪️ 다이슨 좋은데 진짜 무거워서 쉬었다 말리는거 저도 똑같거덩요ㅋㅋㅋㅋ 바람 쎈데 가벼운 드라이기 느므 필요했어요❤️,@lovearam_ 우왕이거넘예뻐
모델명이 어케 될까용?? 온수도 되나요??😍,와아 저도 마침 정수기 들일려고 했는데!!! 별샘님😍wd507acb모델이면 화이트가 아니라 베이지로 하신건가요?👍🏻👍🏻,샘님 렌탈아니구 구매하신거예요? 그럼 관리는 셀프관리하시는걸까요??,얼음정수기써봐 ㅋㅋㅋㅋㅋ 아주 신세계임ㅋㅋㅋㅋㅋㅋㅋㅋ,오 저희집이랑 정수기 똑같아요 🤩,오아 .. 이거 컴팩트하니 넘 좋아요 이거 설치해볼까봐요 안그래도 찾고있넜는데 🖤,저도 같은거 쓰고있는데 어른부터 아이들까지 너무 잘쓰구있어요🤍,디자인도 예쁘네요❤️,광고아님 내돈내산🫡,깔끔하니 예뻐요👏 역시 화이트는 진리에용...,찌찌뽕요💙 저희집에도 내돈내산 같은 모델아이 있어요ㅎ,"샘님,, 로얄베르겐타올 공구도 해주시면...ㅜㅜ 화이트...ㅠㅠ",집 진짜 깔꼼..👍🩷,깔끔한 집❤️,
안녕하세요 ! 혹시 마와 옷걸이 언제쯤 재공구 할까요???,실례지만 착장 정보 부탁드려도 될까요 정말 상큼하고 아름다우셔서 저도 따라 입고 싶어요 ㅠㅠ,오늘같은 날은 흰색이랑 검은색만 입어야 하는건가요😆 시원한 곳으로 요리조리 잘 다니시는 걸로❤️,어 회색이 왜? 하다가 이해했어요🤣,아무리 기뻐도 만세 하지 마세요….. 😂,오늘은.. 안 괜찮..😂,,,,,,,,,
"안뇽하세용! 궁금한게 있어 문의드려용 지난번에 덴프스 비오틴이랑 비타민 d구매해서 섭취중인데 이번에 콜라겐도 막차 탔거던요,,ㅎㅎ 거기 콜라겐 설명보면 비오틴 포함이던데 콜라겡 하나만으로도 비오틴 섭취량이 충족 되나요?? 콜라겐 먹으면 비오틴 먹는건 하나 줄일까해서 여쭤봐요!",엄마생신이 8월인데 미리 구입합니다^^저희엄마는 늘 콜라겐드시는데(연예인이 광고하는 유명브랜드)크게 눈에띄는효과는 안보이더라구요 근데 별샘님이 소개해준 콜라겐보니 효과가 너무좋은것같아서 이거로드려야겠어요🩵,저는 홈쇼핑에서 산 유명 가루형 콜라겐 안비리다해도 예민한 제 입엔 너무 비려서 일년이 넘게 방치중인데 뷰티드링크는 정말 전혀 비리지 않고 목넘김이 좋네요👏 그리고 이제 5일정도 먹었는데 아침에 얼굴에 난 베개자국이 눈에 띄게 빨리 사라집니다😆,"제가,,, 뒤늦게 콜라겐 차에 탑승해써요 막차인듯 막차아닌ㅋㅋㅋㅋㅋㅋㅋㅋ 후기보고 마음 먹음🔥",남편이랑 같이마실꺼라 3박스 또 고고~~~했습니다,저는 아침 공복에 유산균이랑 같이 먹어주고 있는데 괜찮겠죠?!,저 어제부터 마시면서 찍어둬써요❤️ 제 스스스로 변화가 궁금하기도해서🙈,샘님 디엠 확인해주실수 있나요? 콜라겐 주문 하고싶은데 답변이 없어서 주문을 못해써요ㅜㅜㅜㅜㅜㅜ,주문완료요 기대합니당,"어제 도착해서 먹고 잤는데 아침에 화장하는데 뭔가 촉촉하고 광이 나는데요,, 신기방기~",효과도 효과인데 맛있..🤤남은 한방울까지 탈탈 털어 먹고 있어요😂,안녕하세요! 혹시 콜라겐 다음 공구 일정은 언제쯤일지 알 수 있을까요?ㅠㅠ,손도 예쁘심♥️,,
반드시 냉장보관이여야하나요? 많이 더운날씬데 실온에 둬두 괜찮을까요? 🥺,믿고 주문했어요! 성분 확인하긴 했는데 우유는 전혀 함유 되어 있지 않은거 맞죠?!,혹시 하루중에 언제 먹으면 제일 효과적일까요? ㅎㅎ 아침공복이라던지 보통 영양제처럼 식후?일까요,"저 콜라겐 처음 먹어보는데, 샘님 믿고 갑니당..!💕",샘님 요거 냉장보관해도 되나여?,안녕하세요! 3박스 주문했는데 한박스에 세병정도? 새서 왔어요...ㅠㅠㅠ 두박스는 괜찮은데.. 사진있는데 어디에 문의해야할까요!?,"평소에 이뮨비타민도 같이 먹고있는데, 요거 같이 먹어도되나요? 비타민 몇개랑 아연이 겹쳐있어서 혹시몰라 문의드립니당 !!",박스뜯으니  액이세어나와있어요,남성이 먹어도 되나요??,수유하는사람 먹어도 되여?,,,,,
콜라겐가루타입은 복용해도효과가크게없던데이 콜라겐은가루타입과차이가있나요?,아니 비포사진 찍었는데 진짜 피부상태 🥹🥹 에프터사진자신있게 보여줄수있는날이 얼른오길🙌🏻🙌🏻,수부지에 가까운 지성피부인데 복용괜찮을까요?🙌,진심이 느껴져서 막판에 홀린듯 구매 ....❤️ 얼굴이 건조한편이라  속건조가 잡히길😍,콜라겐 딱 떨어졌는데 ㅎ 나이스타이밍!! 3개월치 구매했어요❤️,몸에서 광이나네요❤️ 신기해요😍,,,,,,,,,
콜라겐 공복에 먹나요? 아니면 식후에 먹나요~?!😍,주문완료🙌 선착순 됐을지 궁금하네요🧡그리고 술 마시는날에도 드시는지 궁금해요!!,선착순 궁금해유..!!,또 3박스 구매완료했습니다. 울엄마꺼♡♡♡,선착순은 못들었지만 구매완료!🥹🤍차갑게 먹으면 더 맛있다는데 평소에도 냉장보관 해도 되나요?!,메인에 있는곳에는 품절이 안풀려서 일분넘게 계속 새로고침만햇네영…🫠🫠 홈페이지들어가서 밑으로 내려서 클릭해서 들어가야 품절풀려잇더라구요🥲🥲 이렇게 선착순은 물건너간거같구여🥹🥹🥹,끄악♡주문완료입니다,3분동안 계속 품절떠서 애간장 녹는줄요😭,흑 ㅜㅠㅠ 선착순 힘들겠죠....?,별샘님... 저 영양제고 드링크고 일절 안먹어봤는데 홀린듯이 주문했어요🤭 아니 토마토 맛이라니!! 토마토귀신은 운명이라 여겼...ㅋㅋㅋㅋㅋ🍅🤍🤍,선착순 됐을까용 너무 궁금해요😮,ㅠㅠ 헉 혹시 배송지 주소 관련 문의는 어디에 하면될까요......... 바보같이 아파트 동수 호수 추가 주소 기재를 못했어요...,흑. . .치과였어서 선착순은 놓쳤겠지말 구매인증이라도 참여할거에오🔥,으악 주문완려에요!!ㅜ🔥🔥,주문 완료 ❤️❤️❤️ 제발 피부가 좋아지기를 간절한 마음으로 🙏
아 별샘님 귀여우신..🙀🤍 피드 다시 하얗고 포근해져라 얍🍃🍃,별샘님 안녕하세요 !세네르 사쉐랑 콤비차 주말에 주문하고기다리는 중인데!통꿀 아침에 공복에 먹고 술먹기 전 후로 사셰스틱 먹어도 되나요?🫢,별샘님! 저 궁금한거 있어요 >< 선착순 안에 들었다는걸 결재하면서 알 수 있는걸까요? ^^,마누카꿀은 마감인거죠..?ㅠㅠ,살아났어요😆  그림들  너무 예뻐요❤️,시간 맞춰서 달려갑니당❤️,",,,cxxxxxxxxxxxxxxxxxx,ㅊㅌ🙌🙌",베이지 큰 액자 정보 좀 알려주시면 안될까요?? 😂😂,쪼롱쯔,",,",,,,,
