0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
헬스장은 에어컨이 빵빵해서 좋은데 그곳은 덥나봐요?? 지치지말고 홧팅! 1년 엄청빠르네요 다음에 운동 같이해요??,오늘도 등견갑 움직임은 예술 ??????,살짝 탄것도 잘 어울리시는데요!!,요즘 너무 후덥지근해서 운동하기 힘들지만 ㅜㅜ 그래도 화이팅 해보아요!!??,쭌님 태닝 하면 어마어마할듯????,오진짜 약간 타셨네유 ㅋ 저도 어제 등 해찌여??,수련회 가셔서 진짜 수련 하고 오신겁니까???? 몸이 더 좋아지셨어..??,전기 맞으신 거에여....????? 와....??,몸이 어캐되신겁니껴….날개가 무슨????,영상 먼저보고 어깨 타셨다 했는데 피드글 봤는데 얘기 있네요ㅋㅋㅋㅋㅋㅋ 안따갑게 수분크립바르셔요!??,탄 것 마저도 멋지십니다.태풍조심하세요 쭌님??,쭌님 탄피부도 멋져요?? 등그뉵 진짜 도라방스,와 쭌님 타니!! 더멋잇는데요^^ 크 진짜 멋지다는 생각뿐이 안납니다!!,탄 피부도 괜찮으신데요??태닝 하셔도 잘어울리실거같아용,살짝탄 몸이 더 섹시해요??
등어깨 가슴어깨 둘중에 3분할로 어떤게 더 좋을까요?ㅠ,바키가 바로 생각하는건 나만그런가요???????,고립감 움직임만 봐도 ㅋㅋㅋ 바로 느껴지는데요??,어ㅏ 쭌님 못본 사이 더 커지셨네요!!!?,와 봉사.멋있습니다?? 잘다녀오시고 나중에 우리 근이도 잘찾아오셔서 보여쥬시기??,오우 그만하셔도될거같은… 전 언제 저렇게..?,남은 주말도 잘 마무리 하셔요!! 어깨 갈라진거 진짜 감탄…????,저저 어깨갈라짐 좀 보십쇼...??,수련회 봉사 잘다녀오세요 같이 복근 만들어요??,수련회 봉사 잘 다녀오세요??,쭈니님 봉사기간 동안 운동 못하시면 큰일이신데.. 구독자웁니다????,복근장착하고계신거 다 압니다??수련회 조심히 갔다오새요??,??,와… 후덜덜하심니다????????,우연히 피드 구경하다 넘어왔습니다! 선팔했어요~! 샐러드 좋아하시면 저희 피드에도 놀러오세요~??
저는 라트익이 그렇게 어렵던데..!!ㅋㅋㅋㅋ그래서 클로즈 벤츠 그립 제일 좋아하는.!!!오랜만에 라트익 좀 해봐야겠어용~,헬쭌님 유튜브 잘 보고잇어용 ㅎㅎㅎㅎ 항상 좋은 꿀킵 감사해용 ??,오 저는 라트익 어려운 것 겉아서 시도를 안하게 되던데..나중에 꿀팁 알려주세요!!??,감을 잃으셨다고 해도 아무도 안믿는거 아시죠... ㅎㅎ 쭌님은 넘사갓바디니까!!!!!!!!!!!!!!!!????,와 효도르다…!,방법을 또 찾아내신다 역시..?? 오버헤드 자주하시는 편인가요 쮼님?,"가슴 팔 운동하면 쭈니쌤! 진짜 효더르 동석이 행님,,,,?????????째고애오 진짜!!!",으아 그기분알죠! 맞는 자세? 방법을 찾아가는 거 진짜 설레인다는??,오우….확실히 클피넘어오시면 압도적이실듯 1번에서 웅장함이??,믿고보는 쭌님 팔뚝..??이제 쭌님이 말아주는 팔운동 아니면 안볼랍니다??,근육마저 잘생겼네요....??????,역시 쭌님 자세는 갓벽????,와 왕팔.. 근육 강력하시네요????????,이두가....잘못됐어요??,이두 근육도 멋진분??
빈약의 의미가 언제 이렇게 바뀌었죠...?이미 강력하십니다????,전혀 빈약하지 않아요… 너무 멋진데…,빈약한 하체가 어디..? 일단 이 게시물엔 없는 것 같은데용??,예주니 화이팅??,어디가 빈약하시다는거죠..????? 저도 오늘 핫체??,8월 첫날부터 하체하시다니 멋지십니다!???? 오늘도 고생 많으셨어용!??,아니…하체매스가 뭐에요????,이 하체가 빈약이라면..! 나는.....!!!!!,다리가 빈약하신게 아니라 상체가 너무 강력하신걸수도 ????????,음....빈약이라은 단어의 정의가 바꼈나봅니당 ???????? 정말 무지막지하게 더운 요즘이에요?? 더위 조심하시며 득근하셔용??,어디가 빈약해요 충분한데요 덥지만 화이팅요??,어휴 저도 어제 하체했는데.. 넘 빈약해여.. ㅜ.ㅜ,핫체도 좋으신데요????,헬쭌님 ㅎㅎ 하체운동 넘 수고하셨어요!!,준님이 빈약하다고 하시면 안되요 진짜......!!!!!! 8월도 같이 힘내보자구요 쭌님!!! ????
다리근육통 느껴지는거 너무 좋죠ㅋㅋㅋ저도 하체하고 이틀째 기어다녀요마지막 바로 전에영상 골프치시는분 너무 시강인데요ㅋㅋㅋㅋ??,와 벤치 컨트롤 진짜??????,쭈니님도 럽스타그램이예요???,귀여운 브이와 그렇지 못한 팔?!????ㅋㅋㅋㅋ 오늘도 수고하셨어요!!,역시 개슴운동 할때는 머슬핏????,머슬핏 필수죠?? 아주 잘어울리신데요~?!????,진짜 팔 미쳣다 ….. 진짜 제 워너비 몸매 헬쭌님 ????????????,역시나 팔에 시선강탈 됐는데 뒤에 골프하시는분에게 오늘은 뺏겼네여??,솔직히 쮼슨생님은 거적대기 입으셔도 간지 철철이심??????,와.... 몸이 옷을 뚫고 나옵니다....!!!!?????? 여기 옷도 근육도 탐나네용,와우 자연스러운 머슬핏이라 그런지 더 몸이 좋아보이시는데. 쭌님바디가 좋으셔서 옷이 좋아보이는 것 같기도 . ????????,핏줄 넘 멋져요 덥지만 즐주말요??,"와 와 쭈니쩸 핏줄 댑악,,,,,아니 진짜 근뉵이 옹골찼어요 대박이에요 제 몸도 저렇게 키워주떼요 쭈니쌤,,,, ??????",저는 검정이요... 분위기 있어보임.. 진짜..팔뚝 짱 머찜..,남자는 블랙 아이겠슴니까??
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ㅋㅋㅋㅋㅋㅋ 영상을 디게 재밌게 찍었네 ㅋㅋㅋㅋ 개그 근엄 두마리 토끼 뭐임 ㅋㅋㅋㅋ,진짜 이제 맥주까지??,맥주에 단백질?!???? 드디어 나올게 나왔다??????,졸라 귀엽네ㅠㅋㅋㅋㅋㅋㅋ,세상에 WPI 맥주라니…????,넘귀???? 다른분 인스타인지 재차 확인했어요?? 연기도 잘하신다????,왤케 귀여우세여 진짜,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저정도면 도핑 의심해봐랴겠어욬ㅋㅋㅋㅋ진짜 당장 마셔보고싶다,몸도 좋으신데 귀여우시기까지 하시면 이건 너무 반칙 아이십니까!!??????,우오오오!! 진짜 이걸 시원하게 마시면 장난아니겠네요 ????,헐 단백질 무알콜 맥주라니?? 진짜 짱이당ㅋㅋㅋㅋ,영상 감성설정 딱인데요ㅋㅋㅋㅋㅋ????,아니 광고를 찍어버리셨네????,진짜 획기적인... 한번 먹어봐야 겠음다 ????,보기만해도 시원해짐다 ㅎㅎㅎ
