0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
왁 결기축하드려요오❤️❤️사진 너어어무 아름다우신데요!? ❤️선남선녀 미쳤다..,두분 결기 축하드려요🤍너무 예쁜 두분이셔요💛,"어머,, 두 분 진짜 너무 예쁘신데요🤍🤍 비쥬얼 끝났는걸요! 결기 다시한번 축하드려요💜🎉",우왕❤️튜카튜카,두분다 왠만한 연옌 명함도 못내밀듯..진짜최고😍,너어무 예뽀요😍😍😍1주년도 축하드립니다😘😘💗💗💗,모델 같으신 두 분😍😍😍사진 정말 잘 나온 것 같애요,🙈 너무 축하드려요❤️ 꺅 1주년이라니ㅎㅎㅎ 시간 넘 빠르게 느껴지지않나요?😝,결기 축하드려요오~🥳🎊🎉 볼때마다 느끼는거지만 인님 진짜 넘나리 예뿌셔요...여신 그잡채..💓👸🏻💫,어머 너무 예뻐요🤍✨✨ 결기 축하드려요 인님☺️,웨딩 사진 진짜 이쁘네요😍,와 1주년 축하드려요👏,키야~ 신부가 이쁘니 뭘 입으셔도 눈부셔요😍,우와 1주년 너무 축하해요❤️❤️너무너무 이쁜 본식사진❤️❤️ 빛이난댜😍,세상에 선남선녀예요❤️
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
오 김포면 그리 멀지도 않고 가볼만 한걸요?! 소금빵 너무 맛있어보여요🥹,요기 넘 궁금했던 곳인데😍,초록이 원피스 넘 이뻐요👍,스타일 너무 이뻐요👏 선팔했어요^^인친해요,예쁜울님😀😀,소통해용🩷,쨍한 색이 잘 어울리시는 거 같아용❤️,❤️,[스타일시크] 김포 가게 되면 한 번 들려야겠네요 😊❤️,예쁜 울림 바르셀로나 잘 다녀오세요♡♡♡,,,,,
카페이름부터 안보고 갈수 없겠는걸요? 히힛 오늘도 이뿌시네용❤️🙌,배경보단 의상에 눈이😍그린원피스 넘넘이뻐요^^너무잘어울리시고요~,인님이 입으신 쨍하고 예쁜 원피스와 배경이 찰떡이네요! 너무 예쁜데요💚,여기 넘 분위기있네요🩷,우아아💚💚원피스 넘 잘어울리세용!💚💚,초록색 드레스 너무 잘 어울리세요..❤️,카페 입구부터 독특하네용☺뭔가 신비로워요!♥,이뻐요~^~^,❤️,sns활동 제안 드리고 싶은데  대화 가능 할까요???,,,,,
워후 김포에 이런곳이?.? 띠옹,진짜 이집트 느낌 뿜뿜인데용..? 이번 주말 놀러 가봐야겠습니다 :),진짜 이집트같아용ㅋㅋㅋㅋ!! 너무 이뿌녜용,멋진곳❤️,잘보고 갑니다 ~,오늘 룩도 성공적💚🌿,와아 너뮤 신기해요!! 카페 이뻐요❤️,❤️,💗💓💞💕,,,,,,
피드구경하다가 너무예쁘셔서 놀랐어요 두분다 선남선녀시네요진짱🩵 선팔꾹 누르고 갑니당 소통하며지내요💛🧡🫠,저도 로이스 사랑해요🥹,요즘일본들많이가시더라요!,로이스 감자칩 진짜 맛있죠!! ㅎㅎ 저희도 너무 좋아하는 과자에요😍,로이스감자칩 🥔🍫진짜 좋아하는데 맛난거만 다있네용😍,도쿄바나나 너무 맛있졍😍,여행가고싶네요🥲,정말 맛있어보이네요👍제 피드도 놀러오셔서 소통해요🤗,맞아용 일본은 디저트 천국인듯🤎,안녕하세요:)먹팔해도 될까요?선팔 걸고 갈게요 :)매일 소통가겠습니다 🖤,로이스 초콜렛은 정말 강추 또 강추요😍❤️,❤️,,,
룩도 넘 이쁘셔뇨❤️,스벅넘 좋네요👍❤️ 여유로운 여행이셨길,힐링 제대로하셨네용❤️,"후쿠오카아,,💖💖 진챠 오오티디 최고!!",스타벅스는 어딜가도 좋네용☕️💚,알차게 후쿠오카 곳곳을 다니신것같아요~저도 목욜에 출국하는데~~ 피드보면서 설레고 있답니다🥰,공원 스타벅스 여유로워보이고 좋네요☕️,❤️,,,,,,,
와 신선해서 더 맛있고 여행이라 더 좋고!,우와… 역시 해산물은 일본이..👏👏 피드 너무 예뻐서 선팔하고 갑니다😍,우아 정갈하니 맛잇어보여요❤️,크으 ❤️ 후쿠오카 가고싶소,비주얼 완전 좋아요👍,초밥❤️,피드 너무 예쁘셔서 선팔하고 갈께요😍소통해요 🙌,오징어회 쫄깃할 것 같아횽🤤,활오징어회라니!!! 너무 신기해요,후쿠오카 가면 먹어야 되는것중에 반드시!! 있어야 하는 저 오징어!!,미쳤다 움직이는거밬ㅋㅋ,❤️,[스타일시크] 비주얼 자체가 너무 맛있어보여요 😊❤️,,
초록가득이라 정말 힐링 잡채!,요런 곳 너무 좋아요💚💚,푸릇푸릇 너무 이뻐요 😍 비율 머냐구 🎶✨,꺘.. 울님 잘 지내셨나요옹 🥹🩷🩷 미모 여전히 빛나요오,초록초록 너무 좋은데요❤️,제가 갔던곳이군요.ㅋ.신기😁😁,초록초록 배경 너무 예쁜데요💚ㅎ,❤️,,,,,,,
풍경 너무 좋은데요❤️,이런거 소소하게 구경하는 재미 너무 좋져❤️,우왕~~ 여행가셨군요^^ 전 코로나이후로 여행이 뚝 끊겼는데 부럽다용😍😍 나중에 기회가된다면 추천해주신 푸딩 꼭 먹어봐야게쒀영💗,브레드 에소프레소앤 맛나기로 유명하드라고요🩷저도 꼭 먹을려고요,내부 인테리어가 엄청 예쁘네요! 😊,좋앗겟어요😆👍👍,디저트 귀여워요🙂🫶🏻,오 상점들 구경하는 재미 좋아요!!! 소소한재미❤️,와 유리 악세사리 너모 예뻐요💙🩵🩷💚,저도 여기 좋아요 ㅎㅎ 가정식백반 파는곳도 좋고 오르골도 샀었지요!,❤️,,,,
