0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
공구 했습니다^^ 아직 젊다고 생각했는데 갑자기 온 노안에 당황스럽고 슬프네요~ 꾸준히 먹고 더 나빠지지 않았으면 좋겠습니다^^,👏👏👏 밀토제놀 매우 중요하죠~^^,요즘 작업때문에 눈 진짜 안좋아졌는데 약사님때문에 건강 챙기게돼서 좋아요..! 좋은 정보 항상 감사드려요🫶🏻✨,눈 건강 정말 제일 중요하더라구요😍,항상 이렇게 세심하고 촘촘한 내용이 나오네요...~~,너무 좋은 내용들..!!,아가들 넘 귀여워서 심쿵했어요😍😍,나두 재택해쏘요 힣,,,,,,,
약사님 안녕하세요! 6살8살인데 알약을 못먹으면 이제품 못먹을까요ㅠㅠ?,열심히 좋아요 누르는 애청자예요^^그런대 선생님! 아침마다 콧물이 흐르고 기온차가 나면 어김없이 콧물!!! 에 기침에!! 이건 어떻게 고칠 수 있을까요??,추천해주신 콜라겐 먹고 있는데 가루라서 자꾸 걸러 먹어요ㅠ 혹시 콜라겐 젤리도 추천해주실수 있나요!?😍,약사님 혹시 울렁거림은 없나요?! 저도 구매하고싶어요!!😮😮,약사님 오메가3랑 밀크씨슬 추천 좀 부탁드려요 40대 입니다,난 언니 영상에 나오는 여행지 사진보믄서 힐링한다요😍,휴대폰을 손에서 때지 못한다면 꼭 챙겨 먹어야겠습니다🔥,피크노제놀이랑 빌베리도 엄청 들어갔던데 진짜 역대급이에용😍,루테인 진짜 중요하지요😍,수우박 맛잇는 수우박,여행가셔서도 열일 👏👏 ~^^,루테인 정말 중요하죠😆👍🏻👍🏻,약사님 읻고 갈아탔습니다. 💛,구매완 ! 했습니다 흑흑 부모님 드리려구  텅장되었지만 좋은가격에 효도하기 ♡,
우와 부원료까지 짱짱하네요!!!,월급 들어오면 사겠어요! 😮😮10일!!건강검진 받을때 눈이 급격히 나빠진걸 알게되서 ㅠㅠㅠ모니터 많이 보더니 그렇게 된거 같아요,눈 영양제는 일년내내 먹어야 하나요? 아님 몇달 먹나요?  그리고 영양성분에 비타민 100프로 넘는거는 하루용량 넘는다는 뜻일까요?,저 왜케 늦게 봤대요 ㅎㅎ 바로 구매 완료헸어용,와 이렇게 자세한 설명이라니 ㅎㅎ 약사님 피드 보다 보면 지식이 쌓이는게 들리더라니까요😆,초등학생도 먹을 수 있나요?,저 요즘 눈 건강 넘나리 걱정돼요 공구 기대됩니다❤️,앗 ㅋㅋ저 그때 당첨돼서 넘 잘먹고 이제 거의 다먹어가는데 공구가야겠네요🔥🔥🔥,눈영양제 필요했는데 정말 너무 감사합니다 💙💙💙,약사님 믿고 구입완료요!! 요즘 눈이 침침해서 우울해하고 있었거든요. 열심히 먹고 좀 개선되길 바래봅니다!!,구매완료요!!👍🏻👍🏻,진정으로 좋은약을 소개해주고 싶은 좋은약에 진심인 약사님😍,약사님께 문의드리고서 오큐클리어 먹고 있는데 넘좋아요 >_<! 감사합니당 :) 안그래도 딱 구매시기 왔는데 구매할게용!!,주문완❤️,몇일 같이 지내보고 반한분😍
불키고 하는데 그나마 괜찮나요?,어릴적 어른들이 티비에서 멀리 떨어져서 보고 불 켜고 보라고 하셨던 이유가 있었어ㅋ,스탠드 켜구그 밑에서 누워서 하는건요??ㅜㅜ,저 지금 불끄고 휴대폰 하다가 딱걸렸어요🥹,그런데 스마트폰 밝기를 거의 최소로 하는데 이것도 문제가 생길까요?  다른 사람들이 그럴꺼몀 스마트폰 왜 쓰냐 하는데 난 이 밝기만 되도 충분한데,나 맨날 자기던 핸폰보는디 반성중 ㅎㅎㅜㅜ 멋진 약사님 최고 👍,자기전 불끄고 폰 안하기 너무 어렵네요 😢,한동안 이렇게 했다가 노안이 급속히 진행되었고 녹내장까지 생겼음.,네 제가 그래서 눈으로 고생합니다. 맨앞자리앉아도 글씨가안보이고 눈이 항상 건조하고 눈이 욱씬거리고 머리까지아프고 피곤하고 에휴,이거 보고 또 불 끄고 누워서 핸드폰 봅,저도 딱걸렸네요🤣 하지만 다같이자는 엄마는 어쩔수없다는…😭,폰밝기를 가장 어둡게해서 보는데. 덜 영향을 받음좋겠네요~,너무 밝아서 동공과 함께 눈까지 축소되었네요..,와..지금 하면안되는 2개다 하고있는중인데...,@eun_sun23 알겠니!!!!잘때 핸드폰좀 하지마!!!!!!!
아 그리고 저는 눈을 좀 뜨고 자는 편인데 유난히 뜨고 잔 날이거나 밤샘작업한 날 뒤에 눈이 너무 뻑뻑하고 눈감으면 화하다고 해야하나 무튼 그런데 이럴경우엔 어떤걸 사용해야할까요?ㅠㅠ,근데 인공눈물을 과도하게 사용하는것은 좋지 않은건가요? ㅠㅠ아님 양은 무관한가요?ㅠ,병원서 처방받은 리프레쉬 인공눈물로만 쓰고 있는데 약사님 추천하신 걸로 상황에 맞게 쓰는게 더 낫나요?,약사님 혹시 라섹수술 전후로 넣으면 좋은 인공눈물들은 어떤게있을까요??처방받을수있는건지도 궁금해요🙌🙌,눈가에 하얀점액 같은게 나오는 경우는 눈이 건조해서 그런건가요 처방법은 ?,자고일어났을때 눈이뻑뻑해서 뜨기가 힘들땐여ㅠㅠ?,선생님 타겐에프연질캡슐은(어머니가 처방받으셨는데 눈건강에 좋다고 저 먹으라 주셨는데...)아무나 먹어도 되나요?혹시 장기복용이나 복용하다 중단시 부작용 없을까요?,선생님 사우나오래하면 눈꼽많이끼는데 거기엔 무슨안약이좋나요?,드림랜즈 착용하는 딸램.. 눈이 뻑뻑하다는데...2번이 좋을까요? 안약 살때마다 궁금했는데 너무 좋은 정보네요^^,실눈곱이 생기는 게 건조해서라고 들었는데 어디에 해당하는 건지 잘 모르겠어요 😢,내용도 좋지만 배경도 끝내줍니다 약사님,건조하고 실눈곱이 정말 자주 끼는데 어떤 것을 사용하면 좋을까요? ㅠㅠ 항상 잘.보고 있습니다!,안녕하세요🙌 실험실근무가 대부분이라 후드때문에 렌즈착용한 눈이 너무너무 건조해요 😢  아이포레 아이톡은 렌즈 착용 후 가능할까요?  늘 좋은 영상 감사해요💕👏🏻👏🏻,라식하면서 자고 일어났을 때 눈이 뻑뻑해서 눈물없이는 힘든데요! 요럴 땐 어떤 제품이 좋을까요?!😮,오~ 좋은 정보도 감사한데 멋진 배경은 덤인가요?  넘 멋져요 💜
"✨ 자외선과 피부의관계 ,비타민c의 중요성 ! ✨약사님의 정성스런 글 잘읽었습니다 🍋 수분 부족한 날이면 저녁에 양치질할 때 거울 보면 미세한 주름이 은근 신경 쓰여요!! 자외선 차단하려고 노력해도 한계가 있더라고요😢 항산화 지킬래효 비타민C부족해요 ʕ •̥ ˕ ก ʔ💛🩷","보통 인터넷에서 흔히 보는 비타민c 가 있는데 비슷하게 보여서 잘 모르겠더라고요 ㅠㅠ  그래서 약사님이 추천하시는 비타민c라면 신뢰가 가게 되는것 같아요!! 요즘 면역력이 약해져서 그런지 잠을 자면 피로가 쉽게 풀리지 않고 2배 피곤한 느낌이 들고 햇빛 못쐬니 무기력해지는 느낌이예요!! 피부의 관계와 신진대사, 항산화의 중요성을 체감하니까 이번 기회에 비타민c 체험을 한번 해보고 정착해보겠습니다🙏",잠을 자도 계속 피곤하고 몸이 요즘 아파요...오늘도 하루종일 계속 누워있고 목감기마저 걸려서 몸살나고 일어날힘이 없더라고요ㅠ 일할때 햇빛을 거의 못보니까 우울해지는것같고...저는 일 특성상 점심시간이 없어서 밥 10분안에 먹고 바로 일한답니다ㅠ.ㅠ비타민c한번체험해보고싶습니다!!,어떤걸 해도 기미가 사라지지않아서 늘 8시간이상을 사무실에 앉아서 햇볕하고는 거리가 너무나 먼 저 가끔 일하는 중간중간 옥상에 올라가서 볕을 쬐지만 기미방지엔 비타민필요한듯하구요~ 신진대사를 위해서도 피를 맑게하기위해서도 비타민C는 필요한듯 합니다,제가 제 인생의 가장 큰 응원자이며 케어하는 역할을 해아 합니다. 아이를 돌보듯 제 자신을 돌봐야 하는거죠. 이것이 한주를 살아가는 힘이 되기도 합니다. 소홀히 하고 방치한 저를 반성하며 피부 미백 및 기미 개선 되는 비타민C를 부지런히 복용해 보고 싶습니다 약사님🌰🐿🧡 레이저를 해도 기미가 개선이 되지 않아 여름인데도 자외선으로 인한 멜리닌 생성과 색소 침착이 생길까봐 휴가도 못가고 집콕만 하고 있어요😂,갱년기 증상으로 고생한지 5년이상은 된듯합니다. 그동안 잠다운 잠을 자 본지가 언제인지.... 항상 피곤함을 달고 살았고 이젠 기미까지 자리를 잡았네요^^ 가끔 비타민C를 먹어보긴 했지만 별 도움을 못 받아서 ... 흡수율이 많이 좋다는 리포좀 비타민C를 한번 체험해 보고 싶습니다~,저 5월에 베트남 보름다녀오고.. 7월에 제주 다녀오고 ㅠ 썬크림을 쳐발랐지만 .. 다리는 진짜 무슨.. 동남아가 아니라 흑인 수준이예요 ㅠㅠ 스타킹 신은줄 ㅠㅠ 비타민 C 먹어도 효과가있을런지요.. 저에게 필요합니다..ㅎㅎ❤️,아들 아이 캐나다서 내일 들어오는데.. 그곳 넘 건조해서 피부며 눈이며 넘 안 좋아졌다네요.. 비타민씨 충전해 주고 싶습니다~~ 소원아 이루어져라 뿅뿅,오 좋은데 가셨네요 👏👏 멋있네요~^^,동남아 뜨거운 햇빛에 매일 노출된 상태에서 뽀얏던 피부가 썬크림을 아무리 발라도 계속 테닝되고 있어요 .. 최근에 콜라겐을 다시 섭취하기 시작했는데 함께먹으면 좋다고 피부도 지키고 콜라겐섭취도 향상시키면 좋을듯 합니다^^,최근에 자궁 수술을 전신마취로 두번했어요ㅠㅠ 병원에서 비타민씨랑 철분제 먹으라고 하더라구요ㅠㅠ 어떤 제품이 좋을지 고민하던 찰나에 비타민씨 흡수률이 좋다면 이걸로 쭉 먹고싶네요ㅠㅠ,리포좀은 처음이라 궁금하네요!흡수가 잘 되는 타입이라 비타민씨 흡수 속도도 빠르겠어요 😍질문이 있는데 ! 비타민씨는 최대 하루 용량 몇까지 복용가능한지 궁금합니다 🫨,요즘 약사님들 영상보면서 좋은 영양제 하나씩 챙기고 있는데 중요한 비타민c는 빼놓고 먹고 있었네요😂 비타민c 좋은 제품 찾고 있는데 체험해보고 정착하고 싶어요 약사님😍 항상 좋은 영상 올려주셔서 잘 보고있답니다! 감사해요❤️,"그냥 다들 비타민c 먹으라고 하니까, 아무거나 종종 사먹곤 했어요. 약사님 글 읽어보니,  먹어서 이뻐질 수 있는 약이 비타민C 아닐까 생각이 드네요 😅 약사님이 소개해주시는 좋은 비타민C  체험해보고 싶습니다❤️",약사님 덕분에 다양한 정보 얻어가고 있습니다 :) 여름으로 물놀이가 많아지면서 썬크림을 덕지덕지 발랐는데도 피부가 손상됐어요🥲🥲 닿으면 아픈 빨간단곈데 리포좀이 들어간 비타민C 먹고 피부회복에 얼른 도움이 됐으면 좋겠어용 ✨🍋✨🤍
약사님~ 식염수 오픈 하면 유통기한 있지 않나요?  언제까지 두고 사용하시나요?? 🫶🏻,눈 기름때문에 일상생활이 너무 힘들어요ㅠㅠㅠ 블레파졸로 닦아도 눈이 뿌옇고 괴로워요ㅠㅠㅠ,수돗물 묻힌 면봉으로 닦으면 안좋은거죠...?,우아아 좋은 정보 감사합니다🩷 근데 매일 닦아야하나요??,"반짝반짝 눈망울입니다.사슴, 사슴이네요 👏👏👏",요거 좋아보이네요~^^,약국에서 생리식염수 아무거나 달라고 하면될까욤??,아침에 면봉으로 눈꼽정리가 다였는데자기전에 해봐야겟습니다👏,임신 중 바르는 크림이나 오일 추천해주세요!,눈꺼풀 닦아봐야겠다..,눈두덩도 닦아야하는줄 몰랐어요!!😮,이미 눈꺼플 미인😍😍,약사님 공동구매 추진부탁 드려봅니다. 🙏🏻😘🌱,@teddy_lee82,@son.j.i 눈침침하자나ㅠ 해봐
장기간 사용해도 문제없나요? 렌즈끼면 건조해서 그런지 실핏줄도 잘 생기고 눈을 엄청 자주 깜빡이는데 수분크림 바르는것처럼 매일매일 그리고 장기간 써도 문제없는지 궁금합니다,바람을 쐬면  눈에서 눈물이 많이 흐르는데요건 해결 방법이 없을까요?,원래 안구건조증이 있는데 최근 눈시림 눈물이 넘 심해서 안과 갔더니 각막에 스크래치가 많이 났다고 선풍기바람 정면으로 쐬지 말라고 하시더라구요 요고 겔도 처방 받아와서 매일 점안해주니 증상이 많이 나아지네요 자주 사용하게 될 것 같아요😄,약사님~10살 아이도 사용해도 좋을까요? 눈꺼풀 아래쪽(눈알 쪽)이 계속 가렵다고 해서요. 인공눈물도 효과가 전혀 없는 상황이라서요😭,약사님 제가 리포직을 쓰고 있는데도 안구건조증이 있어서요ㅠㅜ 다른 점안겔인 듀라티얼즈를 사용하면 괜찮을까요? 제가 다래끼가 잘 나는 눈인데도 사용해도 괜찮을까요?,약사님~! 60-70대가 사용해도 괜찮죠???,라식하고 얼마 안돼서 인공눈물 자주 넣는데 이것도 같이 써도 될까요??,평소에 안구건조증이 심해서 렌즈도 못 하는 눈인데 요고 오래 쓰면 호전될까요???😍,바르고 나서 렌즈는 껴도 될까요?,".3% 인공눈물 사용중인데, 최근에 너무 따가워요 왜그런걸까요?",임산부가 사용해도 되나요?,오오!!! 안그래도 지금 눈 뻑뻑한데ㅠㅠㅠ 꿀정보 감샤합니다👍👍👍,처방없이 살 수 있는 연고 인가요?,리포직을 직접 쓰실 수 있다니👏  전 무서워서 막상 못 넣겠더라구요😂,이런 비밀제품을 또 알려주시다니😍🙌
샘 공구 구매했고 오늘오후 배송온다고 문자 왔네요. 샘처럼 먹음 살 좀 뺄 수 있을까요? 지금 이순간부터 다욧시작!!! 그런 의미로다가 순대국 든든히 먹고 왔네요.,이렇게 먹고 싶은데 아토피가 있어서 계란을 먹을수가.... ㅠㅠㅠ,약사님 자서전 써주세요. 힘들었던일 마음의 힘 근원들 마음을 다시 세우는 일 (드시는약) 관리법 철학 가훈이 뭔지도 궁금해요,와 이건 한끼에 한번씩 먹어야겠습니다 :),언니가 예전에 알려줬던 꿀식단이당,저도 달걀로 다이어트 하겠습니다...!,약사님 미모의 비법이군용😍,오~~낫또 맛도 마스킹 되고 넘 좋겠당 !!! 집에있난 나또 이렇게 먹어볼께요 😊👍🏻👍🏻👍🏻,품절인가요?,왕 언니 준비열찌미했네요♥,와 이거 약국에서도 간단하게 먹을수 있겠네요😀,와.. 이거 전자렌지 있으면 엄청 간편하고 영양가 있게 한끼 먹을수 있겠어요 😍,항상 멋져요 닮고싶어요 본받고싶어요🙌,식욕억제가  넘 어려워용 ㅜㅜ 어쩜 좋을까요??,오앙 넘 꿀팁이에요😍👍🏻
그럼 편안한컷~ 먹으면서 원래 먹던 오메가.비타민c 계속 먹어도 된다는 말씀인가요? 중복 안되나요?,"칼마비는 언제 먹어야 효과적일까요? 기상 후 유산균, 질유산균 먹고 있고 점심 식후에 크롬, msm, 운동 전 아르기닌, 저녁 오메가3, 밀크시슬 먹고 있어요.",40대후반입니다 애들영양제만 챙겨주다가 이제 힘도딸리고 다이어트도 시작하려구 공구구입예정입이다. 공구다이어트약과 같이먹을수있는 비타민D제품추천부탁드립니다. 참고고 비타민D부족으로 이비인후과에 6개월에 한번 비타민주사 맞고있으며 이번엔 바빠서 6개월넘겼습니다.,약사님ㅠㅠ 저 고민이 있어요 자면서도 한번씩 다리 쥐가 나고  너무 피곤하고 해요ㅠ 간수치를 살짝 걱정하면서 간을 위한 영양제 추천해 주실 수 있으실까요ㅠ (음주는 월 1~2회가 전부입니다),"신슐린, amk 먹고 있는데 이번에 편안한컷 시켜서 왔는데 같이 먹어도 될까요??","3번째 사진(칼슘,마그네슘..등등) 어떤 영양제인지 이름과 회사 알 수 있을까요 ??",먹어야 될 영양제가 너무 많네요  약만먹어도 배가 불러요ㅠ 꼭 필수 영양제만  추전해 주실수 있으신가요? 😂,치아씨드  공구는  없나요?,약사님 안녕흐세용 ! 마그네슘도 먹는게 좋은가욘? 😮 현재 남편이 비타민b 코큐텐 비타민b 아연등 먹고 잇는데 도움이 될까해서오,아르기닌은 청소년기 여아가 먹어도 될까요? 다욧은 아니고 요즘 키가 안크는것 같다고 😂,"칼슘,마그네슘,비타민 D 드시는 브랜드 알 슈 있을까요? 비타민 b도 알려주세욤~~~🥹",아르기닌 제품 알려주세용😍 칼슘마그네슘 비타민D부족해서 살찌는것같아요😂,왤케 예쁨…,약사님^^ 치아씨드 제품 알려주세요^^ 항상 좋은정보 감사해요^^👍👍👍,시원한 정리 감사합니다 😍😍
