0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
대박 타이밍!! 애기 지금 조리원에 있는 동안 준비해둬야겠어요😍😍,약사님 엘포비와 유한양행중 선택하신다면? 이건 곤란한 질문일까요? 지금 엘포비 먹이는데 바꿔볼까 해서요😂,조카 유산균 고르고 있었는데 참고해서 보내주겠습니다 ☺️💪💪💪,신생아들은 어떤유산균이좋을까요?!!ㅠㅠ,듀오락 얌얌플러스는 어떤가요? 보장균수 어떤가요? 6세 작고 마른아이예요..,깔끔한 정리 넘 감사합니다☺️👍🏻👍🏻,,,,,,,,,
믿을만한 재품 공규도 해주세용!! 공구때마다 잘 사먹고있어요! 아근데 마그네슘먹음 졸릴수 잇나요??,저두 제품 사고싶어요 뱃살때문에 슬퍼요,뱃살이 두툼 ꒦ິȏ꒦ິ 많고 체력딸리고 다 먹어야할거같어요 ㅜㅠ 제품좀추천해주세요,오~ 저에게 필요 약이네요 !!! 알려주세요 😄,4번 임신준비중이거나 임산부가 복용해도되는건가요?;;;,약사님 제품을 알려주셍,이거 너머 필요한 내용이에요 😭 저희남편 뱃살때문에 걱정인데 알려주세요🙌,제품 알려주세요,카르니틴  알려주세영!,제품 좀 알려주세요😭,제품 알려주세요~♡,앗 인친님들 여기서 알려드리면 대놓고 문제가 될수 있어서 추후 제품만 알려드리는 컨텐츠로 정리 해보겠습니다! 😢😢😢 양해부탁드립니다,뱃살고민이죠^다른 부위의 살도 빠지겠죠? ㅎㅎ,제품궁금해요!!뱃살ㅜ빼고싶어요.😂,제품 알려주세용~
한 6년간 유방 추적 검사 중인데 매번 다른 덩어리가 생겨서 걱정이 큰데 도움 되는 영양제 소개 시켜주셔서 감사합니다. 혹시 폐경기가 오면 산부인과에서 호르몬제를 많이 권유해 주시던데 그 호르몬제가 덩어리를 키우거나 유방에 안 좋은 영향을 주기도 하는지 궁금해요. 유튜브 보면 정말 의사들도 내용이 반반이라 궁금합니다,이건 개인적인 질문인데요~ 비판텐 매일 크림이랑 섞어서 로션처럼 발라도 가능한가요?한번 발랐더니 건조함이 좋아져서요~아이도 같이 그렇게 매일 사용가능한지 알려주세요~^^,약사님 질문이 하나있는데요.... 얼마전에 와이프랑 헌혈하러 갔다가 와이프가 철분이 부족해서 헌혈하면 않된다고 거절당했거든요. 혹시 50세이상의 여성이 먹으면 좋을 철분제나 추천해주실만한 영양제가 있을까요...????,"약사님!! nmn 영양제가 정말 노화방지에 도움이 되는 영양제인가요~? 알려진것처럼 별다른 부작용은 따로 없는지, 꾸준히 섭취해도 되는 영양제인지 너무 궁금합니당 ㅠㅠ",저도 3개월마다 추적검사로 유방 절제까지 고민했던 사람이에요.. 혹시 추천해주실 영양제가 있으실까요?,호르몬 요법 시행한지 8개월 더 지난 것 같네요 유방암에 대한 정보에 더 솔깃해지는 걸 보니 아예 신경이 안 쓰이는 건 아닌가 봅니다.ㅎㅎㅎ 좋은 정보 늘 감사드려요 화이팅입니다 😊😊,유방암환자들이 꼭 챙겨먹어야하는영양제는 어떤게 있을까요,"고약사님 제품 추천 부탁해요~ 가슴에 혹이 계속 생겨서 맘모툼을 두번이나 했는데, 이번에 떼낸게 암위험군이었대서 계속 추적 관찰해야거든요~ 아직도 혹이 많이 남아 있어 걱정됩니다ㅜㅜ",체지방 줄이는 영양제는 어떤 걸 섭취하면 좋을까요?,자궁근종이 여러 개 있는데 이 영양제 섭취해도 괜찮나요? 제품으로도 추천해주세요~~!!,약국 가서 뭐라고 이야기 해야 할까요?? 약 명칭 좀 부탁 드립니다,호르몬조절 필요합니다👏👏👏,예방과 억제하는 영양제. 같이 복용해도 될까요?😮,이전 영상에 질문드렸는데 ~ 쏜리서치마그네슘 하루2알씩 먹고있는데 이용량은 장기복용해도 괜찮은지 답변좀부탁드려요,@minju_0421
"유용한 정보 감사해요! 혹시 아이 종합영양제를 살때 꼭 물어보는게 유산균(비타민D, 아연 포함)인데 D와 아연이 너무 중복되진 않느냐 이거든요. 그럼 약사님께선 그렇게 많은 양은 없어서 괜찮다 라고 답은 받지만 성분표에 하루 100% 이런식으로 적힌걸 보면 신경이 쓰이더라구요. 약사님께도 여쭤보고싶어요 🙏",약사님 아연하고 셀레늄이 같이 섞인 영양제를 물에 타먹고있는데 아연과셀레늄이 합쳐진거는 효능이떨어진다는말이있던데괜찮은건가요?,차전차피 꾸준히 먹어야된다고~TV 나몸프로그램을 보고 2년정도 먹고 있는데~그만 먹어야 되는지요?,그러면 1번 지용성 비타민은 쉬었다 먹어야 하나요? 비타민d 매일 섭취하는데요…😮,그럼 엠드림 같은경우엔 괜찮나요? 하루에 2알만 먹고 잇어요  아 그리고 오엠비 신랑이 계속 달아서 먹고 잇는데 괜찮나요?,아연은 프로폴리스 안에 하루 권장섭취 안넘으면 괜찮은거죠?😮pgak폴리도 궁긍합니당,"오오~~^^ 한주먹씩 영양제 먹으며 늘 궁금했었는데..^^ 현재 카테바나 ,락토페린 꾸준히 복용중인데 이것도 괜찮은거죠~??^^",쏜리서치마그네슘 하루2알씩 먹고있는데 이용량도 주의해야하는건가요? 휴지기가있다면 몇개월섭취후일까요?,종합비타민은 휴지기 얼마나 가져야할까요?~ 6세아이 미네랄 먹고있는데휴지기 어떻게 가지면 좋을까요?~,씬지로이드 먹고 있는데 밀크씨슬 먹어도 부작용 없을까요?,아묻따 좋아요부터 누르고 정자세로 영상봅니다🔥 항상 좋은 정보 감사합니다,철분제도 먹다가 쉬어야 할까요? 40용량은 하루섭취 용량일까요?,오래 먹어도 되나요?자주 받는 질문 중 하나인데뜻깊은 영상인 것 같습니다👏,안녕하세요~트루엔 오엠비 10박스주문했어요ㅎ혹시 궁금한게 있는데요~연세가81세인데 단백질보충제 추천해주실수있을까여??,약사님❤️ 종합비타민 휴지기는 얼마정도 가져야 할까요? 홍경천 추출물 영양제 먹고있는데요 그것도 휴기지를가져야겠지요?
신장환자는 어떤게 문제라서 상의를 해야할까요??,저온초임계 추출방식이 아닌거같은데 저온초임계아니여도 괜찮나요?,특별한 질환 없으면 오메가3 매일 먹어도 괜찮나요? 다른 영양제들도 마찬가지구요??,칼슘 마그네슘 비타민D를 같이 먹는것이 흡수율을높이고 좋다고 알았는데 아닌가요,"약사님 몇 달 전에 약사님을 알게 되고, 약사님을 통해 엘레나 퀸 유산균을 구매해서 먹어보고 효과를 몸소 느껴 약사님의 릴스를 매번 유의깊게 봅니다.ᐟ 저번에 올려주신 오마비 제품 추천 관련 릴스를 보다가 해당 상품을 구매하려고 장바구니에 넣어뒀었는데 이렇게 공구를 해주셔서 정말 감사할따름이에요❤️ 감사합니다 약사님🥰 즐거운 금요일 되세요.ᐟ",저세개 한꺼번에 복용해도되나요??? 그리고 제가 위장이 탈이@잘나는데 언제 먹어야할까요????,고2 아들 주려고 샀습니다. 유산균도 먹이려 하는데 언제 먹는 게 좋나요?,입술포진이나 구내염 한번씩 잘생기는데 비타민c를 잘챙겨먹어야할까요? ㅠ 제품도 추천해주세요,오마비 + 아르기닌+ 밀크씨슬+ 테라큐민 한번에 먹어도 될까요? 따로 시간차 두어야할까요?,지금 제가 먹고있는 종합 영양제에 b6가 4.5mg들어있는데 이거랑 같이 먹으면 안되는거죠??,약사님^^오엠비 챙겨먹음 ㅡ따로 종합비타민은 안챙겨먹어도 될까요?,오마비 각각 따로 사먹기도 부담이고 개별로 뭐가 괜찮은지 비교 하기도 어려웠는데 편하게 먹을 수 있는게 넘 좋네요👍 약사님 픽 완전 굿,안녕하세요 약사님! 약을 받아서 먹고 있는데 비타민b를 먹으면 속이 울렁거리고 설사를 하는데 고함량이어서 그런 것 같아요. 이럴땐 약을 절반만 먹어야 하나요 아님 계속 먹다보면 적응이 될까요?,"요것두 사구 유산균도 구매했는데, 기대됩니다. 고2 딸아이 이렇게 네가지 다 먹이면 되지요?",얼마전 공구허신 액상마그네슘을 먹고 있는데 중복해서 먹어도 되나요??
제가 혈관성편두통이 있는데 저희동네 약국에서 오몌가랑 마그네슘이랑 구매해서 먹으면 좋다고 하던데 맞는걸까요?,구매완료했어요👏,구매 완료👍,구매완료!! 배송완료!! 섭취완료!!,비타민B 냄새가 많이나나요?속이 좀~불편해서 비타민B를 못먹고있거든요,저도 구매완료요!!❤️❤️,구매완료ㄹ🙌찾던거여서 바로 구매했어요 최대치세트 샀지만 남편이랑 2이먹어서 금방 먹을꺼같아요😂 항상 유용한 정보 감사합니다!!,항상 잘보고 있습니디😍더위에 지친 우리신랑 힘내라고 고고했어요!!!!❤️힝상 응원합니다,구매완료 했어요^^ 따로 먹기 불편했는데 이젠 편하게 매일 챙겨  먹기 편할거 같아요❤️👏👏,구매완료입니다~선생님 한번에 3가지다 먹어도되나요?,구매완료~!! 고약사님 믿고 3박스 저희딸 첫 영양제로 겟했답니다😍😍,구매완료했어요. 고약사님이 강조하시는 오마비 한번에 구매할 수 있어 넘넘 좋아요.,구매완료요👏,구매완료!,구매완료❤️🩷🧡💛💚💙💜💜🤎🖤🩶🤍
"저는 무통증멍울이었어요~ 타지에서 자취중이라 물어볼 어른도없어서 혼자 이게뭐지 고민하다 병원가서 검사하고 초기치고는 암덩어리가 큰편이라 더 진행되기전에 가서 다행이었죠.. 저는 완치판정까지 2년남았는데, 요즘 암센터에 유방암검사 예약이 힘들정도로 유방암환자가 많이 늘어난것같더라구요ㅠㅠ 다들 건강챙기세요~!!",약사님 다른 내용인데 신랑이 넘 피곤해요 영양제를 오메가3.아연. 밀크씨슬. 루테인.마그네슘 일단 이렇게 먹는데 도대체뭘 먹아야 안피곤해 할까요,약사님~ 여기서 오메가3하고 이번에 코큐텐도 같이 주문햇는데요 두개 공복에 같이 먹어도 되나요? 철분제랑 간격을 둬야 할까요?,저는 7가지중에서 여섯번째 말씀하신 림프절비대가 있었구요 그보다도 수개월전부터 극심한 피로감이 있었네요~~이제는 6년차로 넘어가는중인데 요즘 정말 유방암환우분들 많이 만나게되더라구요~🥲🥲,유방암이나 자궁암 예방(?)에 좋은 영양제가 있을까요?,역시 고박사님은 제가 현시점에서 궁금한 정보만 이때싶을때 올라오는정보 진짜 대단하시고 정보 정말 감사합니다,약사님^^다른내용인데요ㅜ디엠을 안 보시는거 가타서용~~~혹시 그때 유산균당첨 언제받는건가요?^^,이런영상 너무좋네요 유방암 영양제 추천해주세요,유방 자궁 추천 영양제가  있을까요,유방암환자 추천영양제 있을까요?,요약 설명 감사드립니다 선생님 잘 기억하고 있겠습니다 ♡,겁은 나고 증상은 모르고 해서 궁금했는데… 좋은 정보 감사합니다,유방암 환자에게 영양제 추천해주세요😀,약사님~혹...,중요한 내용들 소개해주셔서 감사합니다..! 👍👍
"약사님~ 7세아이, 흡수율이 좋다고해서 냉장보관하는 리퀴드타입 오메가3먹이고 있었는데, 개봉후 한두달 지나면 찝찝하더라구요. 늘 남겨서 버리니 아까워서 바꿔볼까합니다. 추천해주신 어썸 제품은 흡수율이 좋나요?",오메가3는 성조숙증을 유발할수 있다고 해서 안먹이고 있는데...괜찮은걸까요?,잘크톤 조합이랑 마이타민 리퀴드씨엠 각각 특징이 너무 궁금해요~~ 밥 잘안먹는 아이들 영양제 조합도 제작해주세요,어른들이 먹는 오메가3를 캡슐씹어서 먹여도될까요? 비려도 먹거든요..,너무많아서 어떤제품을사야할지 모르겠어요 추천종 부탁드립니다,안녕하세요. 혹시 셀레늄 영양제 먹으려고 하는데 추천해주실만한게 있을까요.. 너무 많아서 고르기가 힘들어요 ㅠㅠ,종합비타민이 여름이라그런지 반점이 곰팡이처럼 생겼는데 먹어도될까용😭,선생님 밴드에서 마그네슘도 샀어요^^ 근데 오디유랑 마그네슘까지 언제먹을면 좋을까요?^^,제품명도 꼭 제작해주세요. !😍,"청소년들한테도 해당일까요? 청소년들은 더 챙겨먹어야할게 있을까요? 지금 종합비타민이랑 오메가 먹이고 있습니다. 16살, 19살",안녕하세요 약사님:) 아이들은 몇세부터 오메가3를 먹여야할까요?,전에 말한 면역력에 좋은영양제 오디유네요~,고등학생이 먹을건데 비타민D 처음 먹을태는 5000천짜리 먹는게좋다고 밴드에서 봐서 그렇게 먹일까 했는데  칼슘이나 철분도 먹여야하나요? 그럼 가짓수가 많아져서ㅜㅜ 비타민D 섞인걸로 해야할까요? 헷갈리네요,좋은정보 늘 감사합니다.오메가는 커서 먹기힘들지만  잘 챙겨야겠네요.아이들도 먹기는 쉽지는 않겠어요^^😆,오메가3  비타민d  성인용으로 중학생 먹어도되나요?
,,,,,,,,,,,,,,
"선생님 무릎관절에 도움이 되는 영양제는 뭐가 있을까요?  엄마가 무릎골절로 나사못 박는 수술을 했는데, 평소 관절염도 있어서 시중에 나오는 msm제품과 칼슘제를 동시에 복용해도 괜찮을까요?","약사님, 오메가3 최저용량 이상복용시 - 즉 1000-2000mg 이상 복용시, 심방세동같은 부정맥을 일으키는 비율이 올라간다는 부작용이 있다는 국내연구와 해외연구가 있다고 기사에 봤습니다. 약사님은 영상에서 효과를 보려면 2000mg이상 추천하시던데 이 부작용에 대해서는 어떻게 생각하시나요? 기사첨부합니다https://n.news.naver.com/article/053/0000037024?sid=103","약사님~ 오메가3, 마그네슘은 저녁식후애 먹는게 좋다고하는데 오엠비제품도 그럼 저녁식후에 챙겨먹어도될까요?? 비타민b는 제가 아침식사후에 먹어서 여쭤봐요 ㅎㅎ",약사님 ㅠㅠ 저 고햘압 4년차예요같이먹으면 좋은 영양제 뭐가있을까요?아무리 봐도 약이 너무 많아요 ㅠㅠ,어제 뉴스에 보니 미국 임상학회 발표로 오메가3 심혈관질환 예방에 도움 안된다고 못 박았다던데요😢약사님 공구할때 6개월분 쟁여놨는데 말이지요,와이즐리 사이트에서 판매하는 영양제 성분도 한번 다뤄 주세옹~~ 가격이 너무 저렴한데 광고비를 빼서 저렴하다고 하는데 알고 싶어요'ㅡ,안녕하세요ㅡ 혹시 통풍있는사람이 다먹어도 되나요?? 통풍약을 먹는건 아니지만 관리하고 있어서요. omb 다 챙겨먹어도 되는지 해서요. 가끔보면 통풍환잔 안되는게.있어서요.,트루엔 오엠비 오.마.비 각성분마다 하루 섭취해먹는양 다들어가있나요? 여러개 많이들어가면 함량이 줄지않나해서요,불면증에  좋은것도요  마그네슘  공구 샀는데  자기전  몇시간전에  먹어야할까요,갑상선저하증이라고 얘기하고 약먹을정도는 아니라는데 예방차? 뭘 먹어야할까요...,약사님 안녕하세요!! 교대근무로 오래자도 피로회복이 안 되는 20대 남자 영양제 어떤 조합이 좋을까요? 운동은 주5~6회 근력운동 중심으로 합니다.  자도자도 졸리다고 하네용ㅠㅠ,요즘은 약종류가 하도 많아서 선택하는것도 쉽지 않고 싼거 먹자니 정말 괜찮나 싶고 비싼거 먹음 왠지 진짜 좋은거 맞나 싶고 그랬는데 한번에 정리해줘서 감사해요,약사님 블랙모어스 오메가 먹고있는데 혹시 소개해주신 제품으로 갈아타야할까요?,비타민 b군이 비맥스가 아니네요?,약사님 국내제품과 해외제품을 섞어 먹어도 상관없나요? (예를들어 국내제품 2종 +해외제품 1종)
