POS String,분류된 품사
_고기 너무 자주 먹는거 같다며 고기를 줄이자길래그럼 야채도 많이 먹으면 되지??????하는 맘으로 찾아간 쥬서리??????.     ,고기|고기|야채|하|맘|쥬|서리
_평소에 잘 안걸었던거제주도에서 다 걷고왔넹??    ,평소|제주도
_잊고지냈던 온더보더??춤추면서 먹음????????????.    ,온더보더
_엄빠집에 귀여운 다락방??  ,엄|빠|집|다락방
??.  ,
_아침부터 부지런 춉춉??     ,아침|부지런
_어제 저녁??뜻밖의 방화동에서 뜻밖의 쭈꾸미??매운거 못먹는데 요롷게 싸서 먹으니깐안맵구 맛있쯈????난 멀쩡한데 매운거 잘먹는다고 자부하던 사람만뜻밖의 푸푸를 맞이했다는 슬픈 쭈꾸미..??.      ,어제|저녁|뜻밖|방화동|뜻밖|자부|사람|만|뜻밖
_아흑 배고푸당??빨리와라????피자먹으러 가자앙????.        ,아|흑|빨리와|피자|가자
_오랜만에 투뿔등심??너무맛있어 진짜진짜진짜진짜진짜??.         ,오랜만|투|뿔|등심|진짜|진짜진짜|진짜진짜
_제주의 아침??.     ,제주|아침
_오빠가 좋아하는 미국 느낌 제대루??????      ,오빠|미국|느낌
_무슨 각도인지 1도 모르겠지만제일 소중한 사람이 찍어준 소중한 사진??????    ,각도|인지|사람|사진
_스테이크는 역시 안심이 진리??이날 괜히 등심 시켰쪙??.    ,스테이크|안심|진리|이날|등심
-뉴네일????글리터 색이 느무 예뻐서 보자마자 요고요 요고!!!맘에들어 키키??.    ,뉴|네일|글리터|색|느|무|예뻐서|고요|고|!!!|맘|키키
_바다에서 흑돼지 먹기?여기 진짜 제주도와서 손에 꼽는 뷰와 맛??      ,바다|흑|돼지|제주도|와서|손|맛
_햇살은 따뜻한데 바람 엄청 부는월요일 출근 중???기분젛앙????.       ,햇살|바람|월요일|출근
_밤에 더 좋은 헤이리??도란도란 얘기하며 손 꼭 잡구 데이트??.   ,밤|헤이|리|얘기|손|데이트
_네일 하러   신고 갔다가 급   구매그냥 두꺼운 샘아델만 느낌??그래두 좋당????.  ,네일|신고|급|구매|샘|아델|느낌
_PARIS 라고 써있는건데 가디건 입으면아리됨??.    ,라고|가디건
_뜻밖의 선물 홍홍??9ml귀욥당??근데 너무 어른 냄새야 컹컹.    ,뜻밖|선물|홍|홍|귀|욥|당|어른|냄새
_처음부터 끝까지 완벽하게 맛있었음천국이었어????.        ,처음|끝|완벽|천국
_워셔액 없엉??하니깐 달려와서 슝슝 넣어준당????????.       ,엉|당
_뜻밖의 스테이크?.     ,뜻밖|스테이크
_오늘 진짜 하나두 안춥다앙??너무 좋앙??그나저나 또        ,오늘|춥다
_아??      ,아
_갑작스럽게 조우하게된   갔는데 뒤따라 들어오는 허버칩 박스들??맘 같아선 한박스 들고오고 싶었지만??,조우|허|버|칩|박스|맘|박스
_좋아하는 카페??.       ,카페
_가전투어 2차????아무리봐도 디자인은 삼성인데실용성으로 따지면 LG??다른거 전부 바로 결정했는데   어렵다 힝.   ,가전|투어|디자인|삼성|실용|결정
_예물반지하러??어머님 아버님 예물로 리세팅하는의미있는 반지라 더더 좋당??   ,예물|반지|어머님|아버님|예물|리|세팅|의미|지라|더더
_귀여워귀여워??    ,귀여워|귀여워
_양심없는 한분이 또 시원하게 긁고 가심??이 정도면 긁고 모르지도 않았을텐데융???천벌받으세여??????????히히덕분에 이번엔 보조배터리 달고 블박 상시로????그나저나 우리 두부 아팠겠다??힝      ,양심|분이|이|정도|이번|보조|배터리|상시|두부
_놀러간다응????????????  ,놀|러|간다|응
??비쥬얼 폭발????????오늘 너무 배고팠어서 이거 다 먹구2차로 치킨 먹으러 가기로 했는데?? 슬슬 배부르다..?? .              ,비쥬|얼|폭발|오늘|차로|치킨
_오늘 점심은 오랜만에   버섯에 물차라아아????.  ,오늘|점심|오랜만|버섯|물|차라|아아
_어쩜 이리 예쁜 하트 볶음밥이 있나융????아니 근데 오빠 우리 너무 술 자주 먹엉??????.            ,하트|볶음밥|융|아니|오빠|술|먹|엉
오늘 하루 엄청 길당??길었던 하루 행복하게 마무리????배야 제발 부르지 마라??????   ,오늘|하루|길|하루|행복|마무리|배
??잔잔한 음악 들으며 하루 마무리??/                   ,잔잔|한|음악|하루|마무리
_웨딩드레스는 정말 신세계다ㅋㅋㅋㅋ왜 다들 드레스 또 입고 싶다는지 알겠어????????빨리 가봉하러 가서 사진 찍어오구 싶당??.   ,웨딩드레스|다|드레스|가봉|사진|항
_인테리어 너어무 예쁜   신혼집 폴딩도어도 화이트로 할까 고민 중??드레스 인테리어 하나하나 끝나가니깐 좀 살 것 같다앙.     ????,인테리어|어|무|신혼집|폴|도어|화이트|고민|드레스|인테리어
_뉴네일?바뻐서 지난번에 한 네일 한달반 유지 하다가샵 갔는데 언니가 내 손톱 보더니 나 같은 사람때문에 돈벌이 안된다며 둥근 프렌치 해주면 안되겠다고 혼남ㅋㅋㅋㅋ????.      ,지난번|네일|달|반|유지|언니|손톱|사람|돈벌이|안|프렌치|안
_자기 전 따뜻한 레몬티 마시면서??가볍게 보기 딱 좋은 고독한 마식가 보다가 잠들기??/       ,자기|레|몬티|고독|마
내일(목요일) 오픈 예정인 “커널로그 2구 멀티탭+리모컨 세트” 소개해드려요???기존에 사용하시던 전기제품들을 무선제어 멀티탭에 꽂아주시면 간단한 리모컨 조작만으로도 켜고 끌 수 있어서 다양하게 활용이 가능한 제품이에요???보통 자기전에 무드등만 켜둔 상태로 스마트폰 보다가 잠드는 경우 많지 않으신가요?????근데 잠 올랑 말랑 하는 딱 좋은 타이밍에 다시 무드등 끄려고 일어나야하는 것도 참 귀찮잖아요.이럴 때 리모컨 조작만으로 간단하게 무드등을 끌 수 있어서 정~~~말 편한 제품이에요???제가 직접 테스트 해보니 거실장 수납장 안에 멀티탭을 넣어둔 상태에서도 제어가 되고방문을 닫은 상태에서 어느정도 거리를 두고 리모컨을 작동시켜도 제어가 되더라구요?(커널로그에서는 막혀있지 않은 공간에서 10m이내를 송수신 거리로 보고 있으므로문을 닫은 상태에서 작동되는 부분은 환경에 따라 차이가 있을 수 있습니다.)?방문이 닫혀있는 상태에서도 제어가 되기 때문에 아이가 잠든 후에 아이방 수면등 꺼주실 때에도 정말 유용할 것 같아요!???컬러는 화이트 옐로우 두가지 준비되어 있으며 디자인도 깔끔해서 다양한 공간에서 다양하게 활용하실 수 있답니다:)?에너지 하베스팅 기술로 앱 와이파이 배터리 충전 모두 필요없이 스위치를 누르는 힘이 무선 전기신호로 전환되어 반영구적으로 사용하실 수 있어요???제 프로필 링크에 제품 미리보실 수 있는 링크 연결해두었어요상세페이지에서 공구 알림도 받아보실 수 있으니 관심있는 분들은 미리 참고해주세요!????? 무선제어 멀티탭 세트?ㆍㄱㅗㅇㄱㅜ ㄱㅣㄱㅏㄴ: 4ㅇㅝㄹ 8ㅇㅣㄹ(목) 오전 10시 오픈~4ㅇㅝㄹ 10ㅇㅣㄹ(토) 자정 마감ㆍㅊㅜㄹㄱㅗ ㅇㅣㄹㅈㅓㅇ: 오후 1시 이전 주문건 당일 출고 1시 이후 주문건 익일 출고ㆍㅂㅐㅅㅗㅇㅂㅣ: 무료배송ㆍ컬러: 화이트/옐로우ㆍ구성: 리모컨+무선제어 콘센트+양면 접착제+사용 설명서해당제품은 KC전기용품 제품안전인증이 완료된 제품입니다.,내일|목요일|오픈|예정|커널|로그|멀티탭|리모컨|세트|소개|기존|사용|전기|제품|무선|제어|멀티탭|리모컨|조작|활용|제품|보통|기전|무드|상태|스마트폰|경우|잠|올|말랑|타이밍|무드|때|리모컨|조작|무드|정|말|제품|제가|테스트|거실|장|수납장|안|멀티탭|상태|제어|방문|상태|정도|거리|리모컨|작동|제어|커널|로그|공간|이내|송수신|거리|문|상태|작동|부분|환경|차이|방문|상태|제어|아이|후|아이방|수면|때|컬러|화이트|옐로|우|준비|디자인|공간|활용|에너지 하베스팅|기술|와이파이|배터리|충전|필요|스위치|힘|무선|전기|신호|전환|반영구|사용|프로필|링크|제품|링크|연결|페이지|공구|관심|참고|무선|제어|멀티탭|세트|공구|기간|4월 8일|목|오전|오픈|4월 10일|토|자정|마감|출고|일정|오후|이전|주문|당일|출고|이후|주문|익일|출고|배|송|비|무료|배|송|컬러|화이트|옐로|우|구성|리모컨|무선|제어|콘센트|양면|접착제|사용 설명서|해당|제품|전기용품|제품|안전|인증|완료|제품
