POS String,분류된 품사
7월말여름휴가로군산에서1박하고전주에서 1박했는데전주에서연꽃 제일많이볼수 있는덕진공원에 갔었어욤??연꽃과 연잎이엄청ㅋㅋ많았어요잎도 엄청 크더라구요????????세미원보다훨씬 넓은것 같에욥제ㅋㅋ생각입니당 비오고나서진짜후덥지근했는데이쁜사진건져서만족한 여행이였어욤??여름에 전주여행가시면덕진공원도꼭 가보세욤????가격ㅡ공짜??                                              ,7월|말|여름|휴|가로|군산|박|전주|전주|연꽃|제일|덕진|공원|세미원|비오|고|서|진짜|사진|만족|전주|여행|가시|면|덕진|공원
주말에갈때없으면자주가는 더현대서울??놀기 너무 편해요특히 요즘 같이비가오고나 더울때실내쇼핑이 최고??즐거운 불금 보내세요오늘은 날씨가화창하네요??,주말|때|주가|더|현대|서울|요즘|비|가오|때|실내|쇼핑|금|내세|요|오늘|날씨|가화|창
일산 벨라시타 투어처음와봐쏘욤먹을것도 많고야외에 아기자기 꾸며져있어서 가족끼리 놀기도좋은곳이였어요??지하1층 푸드코트먹을게많더라구요층층마다 음식점이있던데 다 돌아보지 못했음매장이 크더라구요벨라시타안에 옷매장도있고 영화관도 있고좋았어요?? 구경할게 많음재방문의사??????                                            ,일산|벨라|시타|야외|가족|곳|이|지하|푸드코트|음식점|매장|요|벨라|시타|안|옷|매장|영화관|구경|재|방문|의사
디테일이 예술인 디저트 카페  양주 데이트 갔었는데점심 먹고 남편 추천으로로슈아카페  갔다 왔어요 ???????????로슈아카페 시그니처 디저트옥수수모양 로수수ㅡ9.9선인장 모양 애리조나체크인-8.9선택 장애 안 생기게 둘 다 먹었어요ㅎㅎㅎ추가로 라즈베리 빨미까레도 시킴디저트 값이 밥값보다 비쌈^^선인장 모양 디저트는녹차 아이스크림이고옥수수 모양 디저트는크림치즈케이크맛 +옥수수알갱이가들어있어서 맛있어요커피도 맛있음 양주 데이트 하실때로슈아 카페 추천해욤??즐거운 주말보내세요???로슈아커피 양주경기 양주시 광사로 145 로슈아커피주차공간있음  2층 노키즈존open 11:00 -21:00,디테일|예술인|디저트|카페|양주|데이트|점심|남편|추천|로|슈아|카페|로슈|아|카페|그니|처|디저트|옥수수|모양|모양|애리조나|체크인|선택|장애|라즈베리|미|까|레|킴|디저트|값|밥값|선인장|모양|디저트|녹차 아이스크림|이고|옥수수|모양|디저트|크림|치즈케이크|맛|옥수수|알갱이|커피|양주|데이트|때|로슈|카페|주말|로슈|아|커피|양주|경기|양주시|광|사|로슈|아|커피|주차공간|노|키즈|존
전주한옥마을에서젤 맛있는 육전?교동육전이구요소고기 육전>_<먹었어요전은뜨거울때먹어야한다는점??역시소고기ㅜㅜ부드럽고질기지도않고파절임이랑 같이먹으니너무 맛있네용파절임  양념이기가막힙니당ㅎㅎㅎ가격소고기육전ㅡ8000원또먹고싶어지네용ㅎㅎ야식으로 좋은것같에욤맛있으면0 칼로리쥬??                                   ,전주한옥마을|육전|교동|육전|이구|요소|고기|파|절임|칼로리
  이도톤보리 중심가에있어서 한국사람들이많더라구요:)글리코상 앞에서남편이랑 같이 사진찍고 싶어서한국분께 부탁해서 사진 건졌어요??삼각대 못가져가게한남편때문에^^ 투샷을 못 찍을줄 알았는데이런 행운이??좋은 추억 남기고 왔답니당 :)주말에  사진정리해서교토간거 올려보게요???♀?즐거운 불금 보내세요??,도톤보리|중심가|한국|사람|글리|코|앞|남편|이랑|사진|국부|부탁|사진|삼각대|남편|에|투|샷|행운|추억|답|당|주말|사진|정리|해서|교토|금
  데이트??결혼준비하느라바쁘지만틈틈이이쁜곳 데리고가줘서  고마웡??최작가 오늘도건졌따??                                        ,데이트|결혼|준비|곳|오늘|따
   목주름 관리하고 계시나욤?나이를 속일수없는곳이  바로 목주름이래요??요즘 목주름이 은근 신경쓰이더라구요목주름에  맞는 필러도 있다고는 하는데  그런건 무섭고부작용도 있을꺼 같에서  저는  화장품으로 목주름을 케어해보려구요꾸준히  사용해서  진해진목주름을 관리해볼라구욥??낫포유퍼밍 넥세럼은향기도 향긋하고끔적임이 없어서 좋은것같에요:)목이 촉촉해진 기분 ㅎㅎ하루 빨리 목주름이옅어졌으면 좋겠어요??                ,목|주름|관리|속|일수|곳|목|주름|요즘|목|주름|신경|목|주름|필러|부작용|화장품|목|주름|사용|해진|목|주름|목이|기분|목|주름
가을가을간만에   올릴꺼생겨서좋다요?자주시밀러룩ㅋㅋㅋ입어봅시당?주말좋아데이트좋아너도좋아??                              ,가을|가을|간만
여행의묘미는식도락이쥬??먹기위해여행가기도하잖아욥?ㅎㅎㅎ정선가서  을 투어했습니당 요즘여행가면꼭 그 지역시장을ㅋㅋ투어해욥?맛있는게 많고그지역 특산물도맛볼 수 있어서빼놓지않고투어합니당정선아리랑시장에  이라는곳이유명해서 갔는데다행히ㅋㅋ웨이팅이없었습니당평소웨이팅이 심한곳이라는데운좋게  바로 먹었어욥ㅎㅎㅎ  은백종원  이집 베스트메뉴는   맛은새콤달콤한비냉같으면서 쫄면맛ㅋㅋ그사이의맛이라고해야하나맛표현이 너무어렵네욥암튼 맛있어욥????????????모둠전에는(수수부꾸미.메밀전병.녹두빈대떡.메밀배추전)요렇게 구성되어있어욥전들이 다 맛있어욥?? 녹두빈대떡은바삭한식감이 인상깊었습니당ㅎㅎ수수부꾸미도 굉장히 부드러우면서맛있어욥정선은곤드레밥이또유명해욥안먹을수없죵??곤드레가 부드럽고밥이랑 따로놀지 않고부드럽게 같이 목으로넘어갔어욥ㅎㅎ간장이랑비벼먹으면 꿀맛이쥬정선오시면꼭한번ㅋㅋ시장투어해보세요그지역 특산물도 구경할수있고시장은또ㅋㅋ가격이넘 착해서 가성비?최고입니당                            ,을|투어|습|당|요즘|여행|가면|지역|특산물|투어|합|당|정선아리랑|시장|곳|곳|운|은|백종원|이집|베스트|메뉴|어렵|욥|암|녹두|빈대떡|은|한식|감|밥|이랑|특산물|성비|최고|입|당
